,What PostGIS support,Do we have it?,Supportability Category,Blocking Reason
,ST_MakeValid — Attempts to make an invalid geometry valid without losing vertices.,No,,
7.7. Spatial Reference System Functions,ST_InverseTransformPipeline — Return a new geometry with coordinates transformed to a different spatial reference system using the inverse of a defined coordinate transformation pipeline.,No,Blocked by C/C++ library,PROJ
,ST_SetSRID — Set the SRID on a geometry.,Yes,Supported,Current yb_geospatial extension
,ST_SRID — Returns the spatial reference identifier for a geometry.,Yes,Supported,Current yb_geospatial extension
,ST_Transform — Return a new geometry with coordinates transformed to a different spatial reference system.,Yes,Supported,Current yb_geospatial extension
,ST_TransformPipeline — Return a new geometry with coordinates transformed to a different spatial reference system using a defined coordinate transformation pipeline.,No,Blocked by C/C++ library,PROJ
,postgis_srs_codes — Return the list of SRS codes associated with the given authority.,No,Blocked by C/C++ library,PROJ
,postgis_srs — Return a metadata record for the requested authority and srid.,No,Blocked by C/C++ library,PROJ
,postgis_srs_all — Return metadata records for every spatial reference system in the underlying Proj database.,No,Blocked by C/C++ library,PROJ
,postgis_srs_search — Return metadata records for projected coordinate systems that have areas of usage that fully contain the bounds parameter.,No,Blocked by C/C++ library,PROJ
7.8. Geometry Input,,,,
7.8.1. Well-Known Text (WKT),ST_BdPolyFromText — Construct a Polygon given an arbitrary collection of closed linestrings as a MultiLineString Well-Known text representation.,No,,
,ST_BdMPolyFromText — Construct a MultiPolygon given an arbitrary collection of closed linestrings as a MultiLineString text representation Well-Known text representation.,No,,
,ST_GeogFromText — Return a specified geography value from Well-Known Text representation or extended (WKT).,Yes,Supported,Current yb_geospatial extension
,ST_GeographyFromText — Return a specified geography value from Well-Known Text representation or extended (WKT).,No,,
,"ST_GeomCollFromText — Makes a collection Geometry from collection WKT with the given SRID. If SRID is not given, it defaults to 0.",No,,
,ST_GeomFromEWKT — Return a specified ST_Geometry value from Extended Well-Known Text representation (EWKT).,No,,
,ST_GeomFromMARC21 — Takes MARC21/XML geographic data as input and returns a PostGIS geometry object.,No,Blocked by C/C++ library,libxml2
,ST_GeometryFromText — Return a specified ST_Geometry value from Well-Known Text representation (WKT). This is an alias name for ST_GeomFromText,No,,
,ST_GeomFromText — Return a specified ST_Geometry value from Well-Known Text representation (WKT).,Yes,Supported,Current yb_geospatial extension
,"ST_LineFromText — Makes a Geometry from WKT representation with the given SRID. If SRID is not given, it defaults to 0.",No,,
,ST_MLineFromText — Return a specified ST_MultiLineString value from WKT representation.,No,,
,"ST_MPointFromText — Makes a Geometry from WKT with the given SRID. If SRID is not given, it defaults to 0.",No,,
,"ST_MPolyFromText — Makes a MultiPolygon Geometry from WKT with the given SRID. If SRID is not given, it defaults to 0.",No,,
,"ST_PointFromText — Makes a point Geometry from WKT with the given SRID. If SRID is not given, it defaults to unknown.",No,,
,"ST_PolygonFromText — Makes a Geometry from WKT with the given SRID. If SRID is not given, it defaults to 0.",No,,
,ST_WKTToSQL — Return a specified ST_Geometry value from Well-Known Text representation (WKT). This is an alias name for ST_GeomFromText,No,,
7.8.2. Well-Known Binary (WKB),ST_GeogFromWKB — Creates a geography instance from a Well-Known Binary geometry representation (WKB) or extended Well Known Binary (EWKB).,No,,
,ST_GeomFromEWKB — Return a specified ST_Geometry value from Extended Well-Known Binary representation (EWKB).,No,,
,ST_GeomFromWKB — Creates a geometry instance from a Well-Known Binary geometry representation (WKB) and optional SRID.,Yes,Supported,Current yb_geospatial extension
,ST_LineFromWKB — Makes a LINESTRING from WKB with the given SRID,No,,
,ST_LinestringFromWKB — Makes a geometry from WKB with the given SRID.,No,,
,ST_PointFromWKB — Makes a geometry from WKB with the given SRID,No,,
,ST_WKBToSQL — Return a specified ST_Geometry value from Well-Known Binary representation (WKB). This is an alias name for ST_GeomFromWKB that takes no srid,No,,
7.8.3. Other Formats,ST_Box2dFromGeoHash — Return a BOX2D from a GeoHash string.,No,,
,ST_GeomFromGeoHash — Return a geometry from a GeoHash string.,No,,
,ST_GeomFromGML — Takes as input GML representation of geometry and outputs a PostGIS geometry object,No,Blocked by C/C++ library,libxml2
,ST_GeomFromGeoJSON — Takes as input a geojson representation of a geometry and outputs a PostGIS geometry object,Yes,Supported,Current yb_geospatial extension
,ST_GeomFromKML — Takes as input KML representation of geometry and outputs a PostGIS geometry object,No,Blocked by C/C++ library,libxml2
,"ST_GeomFromTWKB — Creates a geometry instance from a TWKB (""Tiny Well-Known Binary"") geometry representation.",No,,
,ST_GMLToSQL — Return a specified ST_Geometry value from GML representation. This is an alias name for ST_GeomFromGML,No,Blocked by C/C++ library,libxml2
,ST_LineFromEncodedPolyline — Creates a LineString from an Encoded Polyline.,No,,
,ST_PointFromGeoHash — Return a point from a GeoHash string.,No,,
,ST_FromFlatGeobufToTable — Creates a table based on the structure of FlatGeobuf data.,No,Blocked by C/C++ library,protobuf-c
,ST_FromFlatGeobuf — Reads FlatGeobuf data.,No,Blocked by C/C++ library,protobuf-c
7.9. Geometry Output,,,,
7.9.1. Well-Known Text (WKT),ST_AsEWKT — Return the Well-Known Text (WKT) representation of the geometry with SRID meta data.,No,,
,ST_AsText — Return the Well-Known Text (WKT) representation of the geometry/geography without SRID metadata.,Yes,Supported,Current yb_geospatial extension
"7.9.2. Well-Known Binary (WKB)
",ST_AsBinary — Return the OGC/ISO Well-Known Binary (WKB) representation of the geometry/geography without SRID meta data.,Yes,Supported,Current yb_geospatial extension
,ST_AsEWKB — Return the Extended Well-Known Binary (EWKB) representation of the geometry with SRID meta data.,Yes,Supported,Current yb_geospatial extension
,ST_AsHEXEWKB — Returns a Geometry in HEXEWKB format (as text) using either little-endian (NDR) or big-endian (XDR) encoding.,No,,
7.9.3. Other Formats,ST_AsEncodedPolyline — Returns an Encoded Polyline from a LineString geometry.,No,,
,ST_AsFlatGeobuf — Return a FlatGeobuf representation of a set of rows.,No,Blocked by C/C++ library,protobuf-c
,ST_AsGeobuf — Return a Geobuf representation of a set of rows.,No,Blocked by C/C++ library,protobuf-c
,ST_AsGeoJSON — Return a geometry or feature in GeoJSON format.,Yes,Supported,Current yb_geospatial extension
,ST_AsGML — Return the geometry as a GML version 2 or 3 element.,No,Blocked by C/C++ library,libxml2
,ST_AsKML — Return the geometry as a KML element.,No,Blocked by C/C++ library,libxml2
,"ST_AsLatLonText — Return the Degrees, Minutes, Seconds representation of the given point.",No,,
,ST_AsMARC21 — Returns geometry as a MARC21/XML record with a geographic datafield (034).,No,Blocked by C/C++ library,libxml2
,ST_AsMVTGeom — Transforms a geometry into the coordinate space of a MVT tile.,No,Blocked by C/C++ library,protobuf-c
,ST_AsMVT — Aggregate function returning a MVT representation of a set of rows.,No,Blocked by C/C++ library,protobuf-c
,ST_AsSVG — Returns SVG path data for a geometry.,No,Blocked by C/C++ library,libxml2
